,0,1,2,3,4,5,6,7
220,2019.0,5.0,21.0,13.0,0.0,14.33888889,4.2,4.3
221,2019.0,7.0,13.0,14.0,0.0,20.20555556,9.9,15.9
222,2019.0,4.0,17.0,21.0,45.0,8.755555556000001,15.3,14.2
223,2019.0,2.0,7.0,4.0,30.0,3.1555555560000004,9.7,9.8
224,2019.0,6.0,13.0,10.0,15.0,16.0,30.6,33.0
225,2019.0,9.0,14.0,1.0,0.0,13.03888889,7.6,7.2
226,2019.0,8.0,9.0,3.0,0.0,16.28333333,0.0,0.0
227,2019.0,5.0,28.0,2.0,0.0,9.666666667000001,11.4,10.6
228,2019.0,11.0,12.0,13.0,0.0,6.927777777999999,52.2,53.5
229,2019.0,6.0,10.0,19.0,45.0,16.4,12.6,15.9
230,2019.0,8.0,11.0,15.0,30.0,20.0,6.9,6.3
231,2019.0,8.0,24.0,13.0,15.0,19.33333333,11.1,6.5
232,2019.0,10.0,2.0,6.0,15.0,9.266666667,7.2,3.9
233,2019.0,3.0,25.0,21.0,15.0,5.377777778,8.2,8.4
234,2019.0,1.0,9.0,10.0,15.0,3.5722222219999997,9.2,8.7
235,2019.0,2.0,10.0,19.0,30.0,3.561111111,10.6,10.6
236,2019.0,6.0,23.0,1.0,45.0,15.84444444,18.2,17.0
237,2019.0,2.0,10.0,9.0,15.0,4.3,8.4,7.9
238,2019.0,3.0,24.0,8.0,30.0,4.938888888999999,7.4,16.2
239,2019.0,1.0,30.0,11.0,45.0,2.327777778,9.6,9.5
240,2019.0,9.0,17.0,11.0,15.0,11.47222222,5.1,21.3
241,2019.0,6.0,11.0,5.0,30.0,15.48333333,7.2,21.4
242,2019.0,11.0,1.0,0.0,0.0,7.211111111,10.1,10.3
243,2019.0,1.0,13.0,9.0,45.0,6.005555556,7.4,7.0
244,2019.0,1.0,1.0,21.0,45.0,5.322222222,10.4,10.0
245,2019.0,11.0,5.0,18.0,15.0,6.6333333329999995,12.6,12.4
246,2019.0,11.0,14.0,22.0,45.0,7.061111111000001,10.5,11.0
247,2019.0,4.0,12.0,15.0,15.0,4.077777778,0.0,0.0
248,2019.0,8.0,9.0,0.0,0.0,16.51666667,17.0,15.5
249,2019.0,5.0,28.0,17.0,30.0,11.77777778,5.2,7.1
250,2019.0,9.0,9.0,15.0,30.0,15.39444444,11.2,3.3
251,2019.0,1.0,12.0,9.0,15.0,4.977777778,14.4,17.4
252,2019.0,7.0,15.0,23.0,45.0,16.58333333,50.5,41.9
253,2019.0,4.0,22.0,14.0,30.0,12.05555556,7.6,8.5
254,2019.0,9.0,14.0,23.0,30.0,15.16666667,6.6,7.0
255,2019.0,3.0,29.0,1.0,30.0,6.583333333,6.3,6.5
256,2019.0,5.0,10.0,18.0,30.0,9.85,4.1,3.9
257,2019.0,4.0,1.0,11.0,15.0,5.461111111,0.0,0.0
258,2019.0,6.0,22.0,16.0,15.0,17.20555556,3.9,6.9
259,2019.0,9.0,23.0,5.0,30.0,13.66111111,6.8,6.2
260,2019.0,4.0,9.0,11.0,45.0,4.116666667,0.0,0.0
261,2019.0,10.0,5.0,15.0,0.0,8.944444444,9.2,4.2
262,2019.0,9.0,7.0,2.0,15.0,13.40555556,9.6,9.9
263,2019.0,10.0,25.0,14.0,0.0,12.88333333,4.3,5.7
264,2019.0,5.0,27.0,7.0,0.0,11.22777778,6.1,9.2
265,2018.0,12.0,14.0,19.0,0.0,3.0722222219999997,9.2,9.6
266,2019.0,9.0,27.0,6.0,45.0,14.49444444,5.6,5.6
267,2019.0,4.0,10.0,12.0,15.0,3.383333333,0.0,0.0
268,2019.0,10.0,12.0,12.0,45.0,13.61111111,2.7,4.0
269,2019.0,3.0,8.0,0.0,15.0,5.15,7.9,7.3
270,2019.0,2.0,4.0,9.0,30.0,2.3111111109999998,8.0,11.2
271,2019.0,4.0,2.0,5.0,45.0,5.222222222,0.0,0.0
272,2019.0,4.0,14.0,16.0,0.0,7.911111111,0.0,0.0
273,2019.0,11.0,6.0,15.0,30.0,5.494444444,8.9,10.9
274,2019.0,3.0,9.0,9.0,30.0,5.238888889,16.4,14.1
275,2019.0,11.0,12.0,17.0,45.0,7.222222222,10.9,11.2
276,2019.0,6.0,24.0,20.0,30.0,19.3,12.2,13.5
277,2019.0,7.0,17.0,17.0,0.0,19.73333333,54.5,66.8
278,2019.0,7.0,31.0,10.0,30.0,19.18333333,29.4,23.3
279,2019.0,2.0,22.0,6.0,45.0,2.255555556,10.2,12.2
280,2019.0,4.0,11.0,20.0,45.0,4.333333333,0.0,0.0
281,2019.0,3.0,11.0,15.0,0.0,5.344444444,5.6,8.4
282,2019.0,4.0,21.0,15.0,15.0,12.6,5.8,5.5
